StructureID,StructureName,Longitude,Latitude
ANN286,Whitman Multiplate Bridge,-65.338047,44.783395
ANN287,Tupper Brook Multiplate Bridge,-65.339937,44.777864
ANN288,Max Bent Multiplate Bridge,-65.345297,44.762419
ANN289,Bowater Mersey     #1 Bridge,-65.406002,44.738815
ANN290,Messenger Multiplate Bridge,-65.426537,44.730991
ANN291,Barteaux Multiplate Bridge,-65.440852,44.724628
ANN292,Mailman Multiplate Bridge,-65.456701,44.719089
ANN293,Potter Lake Bridge,-65.528957,44.601547
ANN294,Litch's Creek Bridge,-65.606141,44.782054
ANN295,Phinney Mountain Bridge,-65.391386,44.878221
ANN296,Harris Brook Bridge,-65.609484,44.592292
ANN297,McColough Bridge,-65.026145,44.970206
ANN298,MacInnis Bridge,-65.150134,45.003781
ANN299,McNeil Bridge,-64.978143,44.992355
ANN301,Moose River Branch #2 Bridge,-65.537941,44.599092
ANN302,Upper Clements Theme Park Bridge,-65.562625,44.704566
ANN303,Morton Service Road Bridge,-65.056971,44.962211
ANN306,Frank Fales Bridge,-65.034938,44.955731
ANN311,Wotton Brook Culvert,-65.025661,44.968208
ANN312,Lauren's Culvert,-65.093762,44.947045
ANN313,Oak Hollow Brook,-65.158634,44.907964
ANN314,Cynthia & Adam's Culverts,-65.197923,44.889633
ANN315,Little Grey Culvert,-65.223472,44.880578
ANN317,Belliesle Culvert,-65.38698,44.809001
ANN318,Virginia's Culvert's,-65.535189,44.632279
ANN321,Warner Brook Bridge,-65.127037,45.000487
ANN323,Paw Print Culvert,-64.9948,44.97467
ANN325,Isobel Culvert,-65.15323,44.90973
ANN326,Munro's Brook Culvert,-65.244893,44.873817
ANN327,Mike's Culvert,-65.2513,44.871806
ANN328,South Side Culverts,-65.251148,44.871224
ANN329,North Side Culverts,-65.25136,44.872164
ANN330,Long Box Culvert,-65.244308,44.871703
ANN331,Durling Mill Brook Overflow,-65.142907,44.697893
ANN334,Sarah's Bridge,-65.315539,44.910659
ANN335,Kniffen Brook Bridge,-65.650752,44.600823
ANN336,Negro Brook Bridge,-65.591411,44.55762
ANN343,Thorne Brook Bridge,-65.678318,44.699814
ANN345,Longley Mountain Bridge,-65.383732,44.812637
ANN353,Callaghan Meadows Bridge,-65.063906,44.867225
ANN361,Trunk 1 Civic No 14373,-65.005529,44.958231
ANN363,Big Brook Bridge,-65.178328,44.837954
ANN364,Potter Bridge,-65.513052,44.583816
ANN131,Leonard Bridge,-65.509847,44.824143
ANT274,CORSTENS ACCESS TUNNEL,-61.978745,45.609272
ANT001,BLACK BROOK BRIDGE,-61.61228,45.607991
ANT002,AVON RIVER PANEL BRIDGE,-61.80513,45.587987
ANT003,JAMES RIVER TRUSS,-62.105685,45.580536
ANT005,MacAMIS BRIDGE,-61.980348,45.620685
ANT006,MONASTERY BROOK BRIDGE #1,-61.623759,45.611381
ANT009,HAVRE BOUCHER CULVERT,-61.518467,45.674474
ANT010,PURL BROOK BRIDGE,-62.039233,45.563086
ANT011,SALT SPRINGS BROOK BRIDGE,-62.018936,45.5836
ANT013,WEST RIVER BRIDGE #1,-62.000139,45.601236
ANT014,ADDINGTON FORKS TRUSS,-62.081969,45.560341
ANT015,ANGUS MAC PHERSON CULVERT,-61.83952,45.551038
ANT016,BEACHES BRIDGE,-61.73265,45.626239
ANT017,BEAVER MOUNTAIN CULVERT,-62.137422,45.565372
ANT018,BAYFIELD BRIDGE,-61.738257,45.628032
ANT019,BEAULY #1 BRIDGE,-61.817723,45.525909
ANT020,BEAVER MEADOWS BRIDGE,-62.100628,45.553262
ANT021,DUNMORE BROOK BRIDGE,-61.928312,45.531676
ANT026,CAMPBELL BRIDGE,-62.111282,45.761821
ANT027,CANAL BRIDGE,-61.983776,45.624647
ANT029,CALEDONIA MILLS TRUSS,-61.79725,45.486173
ANT030,CARRIGAN MILLS BRIDGE,-62.087596,45.442739
ANT032,CHURCH STREET BRIDGE,-61.988467,45.621023
ANT033,CLYDESDALE BRIDGE,-62.04517,45.638379
ANT035,OGDEN BROOK BRIDGE,-61.898184,45.726684
ANT036,CROFTS CULVERT,-61.849688,45.508935
ANT037,UPPER SOUTH RIVER BRIDGE,-61.939731,45.470623
ANT038,DENOON BRIDGE,-62.020374,45.645511
ANT039,ARISAIG BROOK CULVERT,-62.171503,45.752665
ANT040,DOCTORS BROOK CULVERT,-62.122676,45.779177
ANT041,ELMS BRIDGE,-61.618975,45.589776
ANT042,FORBES (HARTSHORN BROOK) TRUSS,-62.130677,45.559147
ANT043,FRASERS MILL CULVERT,-61.937119,45.492708
ANT045,GUS MCLELLAN BRIDGE,-62.064622,45.606832
ANT046,OLD ROAD BRIDGE,-61.961755,45.414054
ANT048,JIMTOWN BRIDGE,-61.910628,45.710439
ANT049,JOSEPH MAC DONALD BRIDGE,-61.993369,45.797364
ANT050,CAPE JACK BRIDGE,-61.582762,45.658524
ANT051,KILN BRIDGE,-62.078625,45.455145
ANT052,NORTH LAKE STREAM BRIDGE,-61.918195,45.780394
ANT053,LOCH KATRINE,-61.937401,45.430116
ANT055,MALIGNANT COVE BRIDGE,-62.080509,45.784396
ANT056,GLENROY CULVERT,-61.871282,45.539136
ANT057,MEADOW GREEN BROOK BRIDGE #1,-61.813293,45.551018
ANT058,MEADOW GREEN BROOK BRIDGE #2,-61.852414,45.558193
ANT061,MILL ROAD BRIDGE,-62.098955,45.568283
ANT062,SOUTH SALTSPRINGS BRIDGE,-61.970948,45.537925
ANT063,MONASTERY BROOK BRIDGE #2,-61.631118,45.605739
ANT065,MORIARTY CULVERT,-61.979027,45.720025
ANT066,SYLVAN VALLEY BRIDGE,-62.017151,45.634763
ANT068,MacDONALD BRIDGE (SOUTH RIVER),-61.908022,45.551556
ANT069,ALEX MCDONALD PANEL BRIDGE,-62.091894,45.561955
ANT070,FRANK SLOAN,-61.767748,45.504709
ANT071,MacDONALD MILLS TRUSS,-61.927544,45.527152
ANT072,ST. ANDREWS TRUSS,-61.90398,45.559462
ANT073,MCGILLIVARY,-62.062778,45.765562
ANT075,MacISAAC BRIDGE #1,-62.042559,45.738223
ANT077,MacNAUGHTON CULVERT,-61.936323,45.416775
ANT078,POLSON BROOK BRIDGE #1,-61.929884,45.447193
ANT079,MacPHEE CROSSING BRIDGE,-61.934467,45.445366
ANT080,NORTH RIVER BRIDGE,-61.933711,45.662401
ANT081,OHIO CROSS ROADS TRUSS,-62.052758,45.478114
ANT083,PETER CARLETON BRIDGE,-62.156851,45.740094
ANT084,PINKIETOWN BRIDGE,-62.074176,45.527671
ANT085,SOUTH SIDE HARBOUR BROOK BRIDGE,-61.891212,45.63727
ANT087,SCHOOL HOUSE BRIDGE,-61.981341,45.406701
ANT088,SCOTTS BRIDGE,-62.039045,45.700191
ANT089,BLACK AVON BRIDGE,-61.78757,45.54232
ANT090,SOMERS ROAD CULVERT,-62.028701,45.610819
ANT091,WEST LAKE CAUSEWAY BRIDGE,-61.922575,45.766058
ANT092,UPPER SOUTH RIVER CULVERT #2,-61.937553,45.470235
ANT094,ST JOSEPH LAKE BRIDGE,-62.083848,45.54044
ANT095,HEAD LAKE BRIDGE,-62.01421,45.463768
ANT096,TAYLORS CULVERT,-61.842076,45.625649
ANT097,TIERNEY,-61.958436,45.708851
ANT099,MONASTERY DAM BRIDGE,-61.634696,45.601655
ANT100,WALLS PANEL BRIDGE,-61.650586,45.575784
ANT102,DAGGER BROOK CULVERT,-61.815475,45.59981
ANT103,WILLIAM BRAY BRIDGE,-61.907612,45.450496
ANT105,POLSON BROOK BRIDGE #2,-61.880468,45.451934
ANT106,RIGHTS RIVER BRIDGE,-61.993093,45.628463
ANT108,HARVE BOUCHE BROOK,-61.539526,45.679427
ANT109,104 O/P ON BEAVER MEADOW ROAD,-62.129178,45.566898
ANT110,FISH HATCHERY BRIDGE,-61.938441,45.494897
ANT112,SCOTTSMAN BRIDGE,-62.008076,45.477683
ANT113,GLEN ALPINE BROOK BRIDGE,-62.008608,45.478517
ANT116,OHIO IRON BRIDGE,-62.071575,45.519732
ANT118,EAST HARVE BOUCHER O/P ON HIGHWAY 104,-61.47292,45.675957
ANT119,PELLERINE RD U/P ON 104,-61.523097,45.674634
ANT121,FRANKVILLE RD U/P ON 104,-61.538545,45.676912
ANT122,LINWOOD R/R U/P ON 104,-61.565229,45.648176
ANT123,LINWOOD U/P ON 104,-61.582307,45.635802
ANT124,TRACADIE LAKE U/P ON 4,-61.592647,45.629534
ANT126,CAPE POND BRIDGE,-61.564259,45.681805
ANT127,AFTON RIVER CULVERT,-61.730866,45.596051
ANT128,EAST TRACADIE O/P ON104,-61.61329,45.619663
ANT129,TRACADIE HARBOUR BRIDGE,-61.621267,45.616145
ANT130,TRACADIE R/R U/P ON 104,-61.625029,45.614905
ANT131,TRACADIE HARBOUR U/P ON 104,-61.627678,45.614051
ANT132,MacGILLIVRAY BROOK BRIDGE,-61.92815,45.762842
ANT133,MATTIE BRIDGE,-61.61013,45.604639
ANT134,WRIGHTS RIVER BROOK BRIDGE #1,-61.991174,45.634365
ANT135,WRIGHTS RIVER BROOK BRIDGE #2,-61.993217,45.637649
ANT136,MEADOW BROOK BRIDGE,-61.675442,45.591004
ANT137,MacNABBS BRIDGE,-62.032612,45.414957
ANT138,GORMAN RD O/P ON 104,-61.711483,45.599253
ANT139,BAYFIELD INDIAN RESERVATION BRIDGE,-61.734144,45.603596
ANT142,LOWER SOUTH RIVER BRIDGE,-61.914067,45.600323
ANT143,PITCHERS FARM BROOK BRIDGE,-62.016884,45.57227
ANT144,BLACK AVON RIVER BRIDGE,-61.766329,45.51051
ANT145,POMQUET RIVER BRIDGE,-61.843195,45.571881
ANT146,GASPEREAU LAKE BRIDGE,-62.050539,45.550976
ANT147,WEST RIVER ROAD BRIDGE,-62.067307,45.57672
ANT148,DUNS BEACH BRIDGE,-61.869189,45.680598
ANT149,MacPHERSON STREAM BRIDGE,-61.922423,45.516347
ANT150,JAMES RIVER BRIDGE,-62.105182,45.57759
ANT152,DUNMORE BRIDGE,-61.931207,45.53854
ANT153,PINEVALE BRIDGE,-61.98138,45.52253
ANT154,GILLIS LAKE BROOK BRIDGE,-61.977409,45.525309
ANT155,ALDER RIVER BRIDGE,-61.732346,45.484892
ANT157,CAMERONS LAKE BRIDGE,-62.125573,45.549321
ANT158,BEAVER RIVER BRIDGE,-62.13294,45.541659
ANT159,BLACK RIVER BROOK BRIDGE,-61.76256,45.503787
ANT161,CAMERON BROOK BRIDGE,-62.133321,45.54478
ANT162,CAMPBELLS BROOK BRIDGE # 1,-61.837353,45.472887
ANT163,HARBOUR CENTRE CULVERT,-61.915345,45.688304
ANT164,CHISHOLM BRIDGE,-61.86952,45.533645
ANT165,CAMPBELLS BROOK BRIDGE #2,-61.838261,45.466367
ANT166,CLOVERVILLE BROOK BRIDGE,-62.004477,45.673704
ANT167,WEST BROOK BRIDGE,-61.672973,45.622899
ANT168,OHIO BROOK BRIDGE,-62.058312,45.486122
ANT169,BRIERLY BROOK BRIDGE,-62.073859,45.604761
ANT170,LEO MACDONALDS BRIDGE,-62.067189,45.608242
ANT174,OLD PINEVALE BRIDGE #2,-61.944803,45.496013
ANT175,OLD PINEVALE BRIDGE #3,-61.958366,45.496411
ANT177,CUNNINGHAM BRIDGE,-61.98247,45.607642
ANT179,WEST RIVER BRIDGE #2,-61.978109,45.61382
ANT180,HEATHERTON BRIDGE,-61.806359,45.59027
ANT181,ALDER BROOK BRIDGE,-62.012543,45.693416
ANT182,MacISAACS BROOK BRIDGE,-62.059762,45.471609
ANT183,PHILIP CHISHOLMS BRIDGE,-61.938538,45.666062
ANT184,BROWNS MOUNTAIN BRIDGE,-62.167075,45.624401
ANT185,PLEASANT VALLEY BRIDGE,-62.071828,45.686119
ANT186,OLD MARYVALE ROAD BRIDGE,-62.064013,45.769577
ANT187,MACKENZIE'S,-61.914233,45.708248
ANT188,MacGILLIVARY BRIDGE,-61.956183,45.776456
ANT189,MacDONALDS BRIDGE #1,-62.167694,45.748859
ANT190,MacDONALDS BRIDGE #2,-62.167301,45.747362
ANT192,STEWARTS BRIDGE #1,-62.018713,45.472974
ANT193,WEST LOCHABER BRIDGE,-62.025118,45.441457
ANT194,MILL BROOK BRIDGE,-62.042754,45.393604
ANT195,CAMERONS BRIDGE,-62.011255,45.453156
ANT196,AMBROSE CAMERONS BRIDGE,-62.00963,45.564969
ANT197,MacNEILS BRIDGE,-62.009522,45.537255
ANT198,BEAVER MOUNTAIN ROAD BRIDGE,-62.137485,45.565102
ANT201,BENOITS BRIDGE,-61.83397,45.647884
ANT202,MacINTOSH BRIDGE,-61.915648,45.599184
ANT203,SPRINGFIELD BROOK BRIDGE,-61.909199,45.525487
ANT204,VOSMANS CULVERT,-61.908489,45.534369
ANT206,COLIN CHISHOLM BROOK CULVERT,-61.577221,45.639396
ANT207,TRACADIE RIVER CULVERT,-61.571169,45.643684
ANT208,MacASKILLS BROOK CULVERT,-61.45899,45.669065
ANT209,ARCHIES POND CULVERT,-61.444292,45.652617
ANT210,EAST HAVRE BOUCHER CULVERT,-61.517914,45.673588
ANT211,COPPER LAKE BROOK BRIDGE,-61.989756,45.403107
ANT212,LOCHABER CHURCH CULVERT,-62.011505,45.455464
ANT214,SOUTH LOCHABER BROOK CULVERT,-62.033681,45.40421
ANT215,WEST LINWOOD CULVERT,-61.578593,45.641927
ANT216,LITTLE TRACADIE RIVER CULVERT,-61.574052,45.651008
ANT217,MILLERS BROOK CULVERT,-61.570949,45.652171
ANT218,WEST HAVRE BOUCHER BROOK CULVERT,-61.549443,45.664869
ANT219,MacASKILL CULVERT,-61.462341,45.667861
ANT220,BONVIE BRIDGE,-61.673185,45.62369
ANT221,CARLS LAKE BROOK BRIDGE,-61.667704,45.575026
ANT222,FRANKVILLE BROOK BRIDGE,-61.541418,45.65959
ANT223,GRANTS BRIDGE,-61.586608,45.576128
ANT224,JIM MATTIE BRIDGE,-61.597622,45.590998
ANT225,CONNERS MOUNTAIN BRIDGE,-62.189703,45.699323
